FileName,DesArea,DesD6Area,CholArea,CholD7Area,24SHCArea,24R_S_HCD7Area,On_OffTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_115,9808373.377,8854581.539,1235969469.0,217877801.7,14330859.79,15321475.29,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_116,9489086.681,8693849.517,1219896835.0,210321698.9,8452915.659,10554704.1,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_117,2533237.317,1974336.763,500162759.8,72690688.87,5325727.162,7566853.558,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_118,4975591.374,4208134.701,842711468.6,127304332.3,9061032.045,12588695.25,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_119,8019472.784,6916414.604,1262158174.0,175649216.0,11399493.05,16143661.21,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_120,2866128.735,2476026.385,611039007.4,86725350.15,7508990.536,11466932.07,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_121,3428049.302,2650149.798,656245722.0,98577432.99,4580117.449,9958393.74,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_122,403959.1902,184456.9174,128009445.4,10037597.33,709953.6842,1901660.769,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_123,1050670.005,621089.382,383387882.3,29240903.59,2214940.376,6463419.722,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_124,523172.9417,322763.3904,233009263.7,17434502.56,1121337.049,3341707.348,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_125,809266.2552,605551.931,346744986.0,27870716.24,1598427.3,6078228.566,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_126,1049455.716,879811.8181,399931049.3,38972980.56,2248902.84,8745544.357,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_127,1422761.025,1501614.135,517208328.9,62966033.52,3395542.081,15487385.03,OnTissue
TJP_240816_EDI_24m_AGED_622-9-2-B_16x10grid_GPd5-eliteNM-eliteMS_128,1029083.463,1245200.24,383346444.5,58454654.38,1734762.772,6877321.018,OnTissue
